key,es,en,source
home.faq.a6,"Todos nuestros racks cuentan con garantía de fabricación. Además, proporcionamos garantía en la instalación y ofrecemos soporte técnico continuo. Los detalles específicos de garantía se definen según el tipo de producto y proyecto.","All our racks have a manufacturing warranty. In addition, we provide an installation warranty and offer continuous technical support. Specific warranty details are defined according to the type of product and project.",i18n
home.faq.a7,"Sí, atendemos desde pequeñas y medianas empresas hasta grandes corporativos. Nuestras soluciones son escalables y se adaptan a cualquier volumen de operación, garantizando siempre la misma calidad y compromiso sin importar el tamaño del proyecto.","Yes, we serve everyone from small and medium enterprises to large corporations. Our solutions are scalable and adapt to any operation volume, always guaranteeing the same quality and commitment regardless of project size.",i18n
home.faq.cta,Ver Todas las Preguntas,View All Questions,i18n
home.faq.q1,¿Qué tipos de racks industriales ofrecen?,What types of industrial racks do you offer?,i18n
home.faq.q2,¿Cuánto tiempo toma un proyecto de instalación?,How long does an installation project take?,i18n
home.faq.q3,¿Sus racks cumplen con normativas sísmicas?,Do your racks comply with seismic regulations?,i18n
home.faq.q4,¿Ofrecen servicio de mantenimiento preventivo?,Do you offer preventive maintenance services?,i18n
home.faq.q5,¿Pueden adaptar racks a espacios existentes?,Can you adapt racks to existing spaces?,i18n
home.faq.q6,¿Qué garantía ofrecen en sus productos?,What warranty do you offer on your products?,i18n
home.faq.q7,¿Trabajan con empresas de cualquier tamaño?,Do you work with companies of any size?,i18n
home.faq.title_p1,PREGUNTAS,FREQUENTLY ASKED,i18n
home.faq.title_p2,FRECUENTES,QUESTIONS,i18n
home.hero.cta,Cotizar Proyecto,Get a Quote,i18n
home.hero.description,"Diseñamos, fabricamos e instalamos soluciones de racks industriales respaldadas por experiencia técnica y de campo. Cada proyecto nace de un análisis riguroso.","We design, manufacture, and install industrial racking solutions backed by technical and field experience. Every project starts with a rigorous analysis.",i18n
home.hero.title_p1,MÁS QUE,MORE THAN,i18n
home.hero.title_p2,RACKS:,RACKS:,i18n
home.hero.title_p3,ESTRUCTURA,STRUCTURE,i18n
home.hero.title_p4,QUE ELEVA,THAT ELEVATES,i18n
home.hero.title_p5,TU NEGOCIO.,YOUR BUSINESS.,i18n
home.hero.trust_badge,La confianza de +500 empresas,Trusted by 500+ companies,i18n
home.industries.ind1,Logística y Distribución,Logistics and Distribution,i18n
home.industries.ind2,Manufactura,Manufacturing,i18n
home.industries.ind3,Retail y Comercio,Retail and Commerce,i18n
home.industries.ind4,Farmacéutica,Pharmaceutical,i18n
home.industries.ind5,Alimentos y Bebidas,Food and Beverage,i18n
home.industries.ind6,Automotriz,Automotive,i18n
home.industries.title_p1,INDUSTRIAS QUE,INDUSTRIES THAT,i18n
home.industries.title_p2,CONFÍAN EN NOSOTROS,TRUST US,i18n
home.services.s1_desc,"Soluciones de almacenamiento listas para instalar, diseñadas con medidas y configuraciones estándar que se adaptan a la mayoría de los espacios industriales. Ideales para optimizar tu operación de forma rápida y eficiente.","Ready-to-install storage solutions, designed with standard measurements and configurations that adapt to most industrial spaces. Ideal for optimizing your operation quickly and efficiently.",i18n
home.services.s1_subtitle,Estándar,Standard,i18n
home.services.s1_title,Racks Prediseñados,Pre-designed Racks,i18n
home.services.s2_desc,"Diseñamos y fabricamos racks completamente adaptados a las necesidades específicas de tu operación, espacio y tipo de carga. Cada proyecto es único, garantizando máxima eficiencia y aprovechamiento de tu almacén.","We design and manufacture racks fully adapted to the specific needs of your operation, space, and load type. Every project is unique, ensuring maximum efficiency and utilization of your warehouse.",i18n
home.services.s2_subtitle,A la Medida,Tailor-made,i18n
home.services.s2_title,Racks Personalizados,Custom Racks,i18n
home.services.subtitle,Lo Que Hacemos,What We Do,i18n
home.services.title,Nuestros Servicios,Our Services,i18n
home.stats.projects,Proyectos Completados,Completed Projects,i18n
home.stats.satisfaction,Satisfacción del Cliente,Client Satisfaction,i18n
home.stats.team,Miembros del Equipo,Team Members,i18n
home.stats.years,Años de Experiencia,Years of Experience,i18n
navbar.about,Nosotros,About Us,i18n
navbar.blog,Blog,Blog,i18n
navbar.contact,Contacto,Contact,i18n
navbar.coverage,Cobertura,Coverage,i18n
navbar.cta,Cotizar,Get a Quote,i18n
navbar.faq,FAQ,FAQ,i18n
navbar.home,Inicio,Home,i18n
navbar.open_menu,Abrir menú,Open menu,i18n
navbar.services,Servicios,Services,i18n
not_found_page.back_home,Volver al Inicio,Back to Home,i18n
not_found_page.message,¡Oops! Página no encontrada,Oops! Page not found,i18n
services.cta.bg_text,CONTÁCTANOS,CONTACT US,i18n
services.cta.btn,Cotizar Proyecto,Quote Project,i18n
services.cta.description,Contáctanos para una consultoría gratuita y evaluación de tu almacén.,Contact us for a free consultation and warehouse evaluation.,i18n
services.cta.title,INICIA TU PROYECTO HOY,START YOUR PROJECT TODAY,i18n
services.expertise.desc,"En Flint Racks trabajamos exclusivamente con los mejores manufactureros de acero a nivel internacional, provenientes del continente asiático, asegurando un cuidado milimétrico en cada pieza que integra nuestras infraestructuras.","At Flint Racks, we work exclusively with the best international steel manufacturers from the Asian continent, ensuring meticulous care in every piece that makes up our infrastructures.",i18n
services.expertise.pt1_desc,Cada componente es fabricado con acero de alta resistencia proveniente de los principales manufactureros internacionales del continente asiático.,Every component is manufactured with high-strength steel from major international manufacturers in the Asian continent.,i18n
services.expertise.pt1_title,Acero de Grado Industrial,Industrial Grade Steel,i18n
services.expertise.pt2_desc,"Cada pieza pasa por rigurosos controles de calidad dimensional, garantizando ensambles perfectos y estructuras seguras en cada instalación.","Every piece goes through rigorous dimensional quality controls, ensuring perfect assemblies and safe structures in every installation.",i18n
services.expertise.pt2_title,Precisión Milimétrica,Millimeter Precision,i18n
services.expertise.subtitle,Calidad Sin Compromiso,Quality Without Compromise,i18n
services.expertise.title,Materiales de Clase Mundial,World-Class Materials,i18n
services.hero.bg_text,SERVICIOS,SERVICES,i18n
services.hero.cta,Cotizar Proyecto,Quote Project,i18n
services.hero.description,"Desde rack selectivo hasta alta densidad, diseñamos e instalamos la solución adecuada para tu operación.","From selective racking to high density, we design and install the right solution for your operation.",i18n
services.hero.mobile_subtitle,SERVICIOS,SERVICES,i18n
services.hero.title_p1,SOLUCIONES,SOLUTIONS,i18n
services.hero.title_p2,DISEÑADAS,DESIGNED,i18n
services.hero.title_p3,PARA TI,FOR YOU,i18n
services.mission.adv1_desc,Cada estructura es fabricada con materiales certificados y procesos de control de calidad rigurosos que aseguran durabilidad y rendimiento.,Every structure is manufactured with certified materials and rigorous quality control processes that ensure durability and performance.,i18n
services.mission.adv1_title,Calidad Garantizada,Guaranteed Quality,i18n
services.mission.adv2_desc,"Diseñamos cada proyecto según las necesidades específicas de tu operación, espacio disponible y proyección de crecimiento.","We design each project according to the specific needs of your operation, available space, and growth projections.",i18n
services.mission.adv2_title,Soluciones a la Medida,Tailored Solutions,i18n
services.mission.adv3_desc,"Acompañamiento integral desde la consultoría inicial hasta la instalación y mantenimiento, con un equipo de ingenieros especializados.","Comprehensive support from initial consulting to installation and maintenance, with a team of specialized engineers.",i18n
services.mission.adv3_title,Respaldo Técnico,Technical Support,i18n
services.mission.subtitle,Ventajas Que Se Reflejan,Advantages That Reflect,i18n
services.mission.title,Calidad y respaldo en cada estructura que construimos,Quality and support in every structure we build,i18n
services.process.steps.step1.desc,Nos acercamos a ti para conocer tus necesidades y entender cómo podemos atender los retos de tu operación.,We reach out to you to know your needs and understand how we can address your operational challenges.,i18n
services.process.steps.step1.title,Primer Contacto,First Contact,i18n
services.process.steps.step2.desc,"Realizamos una entrevista detallada para mapear dimensiones, necesidades específicas y definir cómo trabajaremos juntos.","We conduct a detailed interview to map dimensions, specific needs, and define how we will work together.",i18n
services.process.steps.step2.title,Información del Cliente,Client Information,i18n
services.process.steps.step3.desc,"Nuestros especialistas visitan tu bodega para evaluar necesidades de carga, distribución y logística interna.","Our specialists visit your warehouse to assess load needs, layout, and internal logistics.",i18n
services.process.steps.step3.title,Visita de Campo,Field Visit,i18n
services.process.steps.step4.desc,"El especialista realiza un levantamiento completo, determina materiales y costos, y te presenta una propuesta que satisfaga tus necesidades.","The specialist conducts a complete assessment, determines materials and costs, and presents a proposal that meets your needs.",i18n
services.process.steps.step4.title,Levantamiento y Propuesta,Assessment and Proposal,i18n
services.process.steps.step5.desc,Cada bodega es diferente. Tu ejecutivo creará una planeación a la medida para cumplir con el proyecto en tiempo y forma según tu industria.,Every warehouse is different. Your executive will create a tailored plan to deliver the project on time and according to your industry.,i18n
services.process.steps.step5.title,Aprobación y Planeación,Approval and Planning,i18n
services.process.subtitle,Nuestro Proceso,Our Process,i18n
services.process.title,DEL CONCEPTO A LA OPERACIÓN,FROM CONCEPT TO OPERATION,i18n
services.products.bg_text,CASOS DE ÉXITO,SUCCESS STORIES,i18n
services.products.desc,"Nuestros clientes han optimizado sus operaciones logísticas, reducido costos y maximizándoles su capacidad de almacenamiento gracias a las soluciones que ofrecemos.","Our clients have optimized their logistics operations, reduced costs, and maximized their storage capacity thanks to the solutions we offer.",i18n
services.products.title,Impacto Real en Empresas Reales,Real Impact on Real Companies,i18n
services.showcase.cta,Cotizar Ahora,Quote Now,i18n
services.showcase.custom_desc,"Diseñamos y fabricamos soluciones de almacenamiento únicas, adaptadas a las dimensiones, cargas y flujos operativos de tu almacén.","We design and manufacture unique storage solutions, tailored to the dimensions, loads, and operational workflows of your warehouse.",i18n
services.showcase.custom_num_desc,Esta solución es ideal para quienes buscan un diseño único adaptado a su operación,This solution is ideal for those looking for a unique design adapted to their operation,i18n
services.showcase.custom_subtitle,A la Medida,Custom,i18n
services.showcase.custom_title,Racks Personalizados,Custom Racks,i18n
services.showcase.predefined_desc,"Sistemas de almacenamiento probados y listos para instalar, con tiempos de entrega reducidos y máxima eficiencia operativa.","Proven and ready-to-install storage systems, with reduced delivery times and maximum operational efficiency.",i18n
services.showcase.predefined_num_desc,Esta solución es ideal para quienes necesitan rapidez de instalación y eficiencia comprobada,This solution is ideal for those who need fast installation and proven efficiency,i18n
services.showcase.predefined_subtitle,Estándar,Standard,i18n
services.showcase.predefined_title,Racks Prediseñados,Predesigned Racks,i18n
privacy_page.sections.1.title,1. Información que recopilamos,,privacy_page
privacy_page.sections.1.body,"Podemos recopilar datos de identificación y contacto (nombre, correo electrónico, teléfono y empresa), así como información técnica de navegación (IP, navegador, dispositivo, páginas visitadas y tiempos de sesión).",,privacy_page
privacy_page.sections.2.title,2. Finalidad del tratamiento,,privacy_page
privacy_page.sections.2.body,"Utilizamos la información para atender solicitudes de contacto y cotización, brindar soporte comercial y técnico, mejorar la experiencia del sitio, dar seguimiento a proyectos y cumplir obligaciones legales aplicables.",,privacy_page
privacy_page.sections.3.title,3. Base legal,,privacy_page
privacy_page.sections.3.body,"Tratamos datos personales con base en el consentimiento del titular, la ejecución de una relación precontractual o contractual y/o el cumplimiento de obligaciones legales, según corresponda en cada caso.",,privacy_page
privacy_page.sections.4.title,4. Conservación de datos,,privacy_page
privacy_page.sections.4.body,"Los datos se conservan durante el tiempo necesario para cumplir las finalidades señaladas y los plazos legales aplicables. Una vez concluido dicho periodo, se eliminarán o anonimizarán de forma segura.",,privacy_page
privacy_page.sections.5.title,5. Transferencias y encargados,,privacy_page
privacy_page.sections.5.body,"Podemos apoyarnos en proveedores tecnológicos para alojamiento web, analítica, correo y formularios. Dichos terceros operan bajo obligaciones de confidencialidad y medidas de seguridad adecuadas.",,privacy_page
privacy_page.sections.6.title,6. Derechos del titular,,privacy_page
privacy_page.sections.6.body,"Puedes solicitar acceso, rectificación, cancelación u oposición de tus datos, así como limitar su uso o revocar consentimiento, escribiendo a contacto@flintracks.com.",,privacy_page
privacy_page.sections.7.title,7. Cookies y tecnologías similares,,privacy_page
privacy_page.sections.7.body,"Este sitio puede utilizar cookies para funciones de navegación, análisis y mejora de rendimiento. Puedes administrar su uso desde la configuración de tu navegador.",,privacy_page
privacy_page.sections.8.title,8. Seguridad,,privacy_page
privacy_page.sections.8.body,"Implementamos medidas técnicas, administrativas y organizativas razonables para proteger la información contra acceso no autorizado, pérdida, alteración o uso indebido.",,privacy_page
privacy_page.sections.9.title,9. Cambios a esta política,,privacy_page
privacy_page.sections.9.body,Nos reservamos el derecho de actualizar este aviso en cualquier momento. La versión vigente será publicada en esta misma página con su fecha de actualización.,,privacy_page
privacy_page.sections.10.title,10. Contacto,,privacy_page
privacy_page.sections.10.body,"Si tienes dudas sobre esta Política de Privacidad, puedes escribirnos a contacto@flintracks.com.",,privacy_page
terms_page.sections.1.title,1. Aceptación de los términos,,terms_page
terms_page.sections.1.body,"Al acceder y utilizar este sitio web, aceptas estos Términos de Servicio. Si no estás de acuerdo con ellos, deberás abstenerte de usar el sitio.",,terms_page
terms_page.sections.2.title,2. Objeto del sitio,,terms_page
terms_page.sections.2.body,"El sitio tiene fines informativos y comerciales respecto a soluciones de almacenamiento industrial, racks y servicios asociados ofrecidos por Flint Racks.",,terms_page
terms_page.sections.3.title,3. Uso permitido,,terms_page
terms_page.sections.3.body,"El usuario se compromete a utilizar el sitio de forma lícita, sin afectar su funcionamiento, seguridad, integridad ni derechos de terceros.",,terms_page
terms_page.sections.4.title,4. Propiedad intelectual,,terms_page
terms_page.sections.4.body,"Los contenidos del sitio (textos, marcas, imágenes, videos, diseño y código) son propiedad de Flint Racks o de sus licenciantes y están protegidos por la legislación aplicable.",,terms_page
terms_page.sections.5.title,5. Cotizaciones y propuestas,,terms_page
terms_page.sections.5.body,"La información publicada no constituye una oferta vinculante. Las cotizaciones, tiempos, alcances y condiciones finales se establecen por escrito en propuestas comerciales específicas.",,terms_page
terms_page.sections.6.title,6. Limitación de responsabilidad,,terms_page
terms_page.sections.6.body,"Flint Racks no será responsable por daños indirectos, incidentales o consecuenciales derivados del uso o imposibilidad de uso del sitio, salvo disposición legal expresa en contrario.",,terms_page
terms_page.sections.7.title,7. Enlaces a terceros,,terms_page
terms_page.sections.7.body,"El sitio puede incluir enlaces externos. Flint Racks no controla ni garantiza el contenido, disponibilidad o políticas de dichos sitios de terceros.",,terms_page
terms_page.sections.8.title,8. Modificaciones,,terms_page
terms_page.sections.8.body,Podemos actualizar estos términos en cualquier momento. La versión vigente se publicará en esta página e indicará la fecha de última actualización.,,terms_page
terms_page.sections.9.title,9. Legislación aplicable,,terms_page
terms_page.sections.9.body,Estos términos se rigen por la legislación aplicable en México. Cualquier controversia será resuelta por las autoridades competentes conforme a derecho.,,terms_page
terms_page.sections.10.title,10. Contacto,,terms_page
terms_page.sections.10.body,"Para dudas sobre estos Términos de Servicio, escríbenos a contacto@flintracks.com.",,terms_page
